dataset,column,rows,missing_rows,missing_percentage
01_partner_discovery_eda.csv,reporter_iso3,1408,0,0.00%
01_partner_discovery_eda.csv,partner_iso3,1408,0,0.00%
01_partner_discovery_eda.csv,partner_iso2,1408,0,0.00%
01_partner_discovery_eda.csv,partner_numeric,1408,0,0.00%
01_partner_discovery_eda.csv,hs6,1408,0,0.00%
01_partner_discovery_eda.csv,year,1408,0,0.00%
01_partner_discovery_eda.csv,trade_value_usd,1408,0,0.00%
01_partner_discovery_eda.csv,export_value_usd,1408,0,0.00%
01_partner_discovery_eda.csv,import_value_usd,1408,0,0.00%
01_partner_discovery_eda.csv,trade_balance_usd,1408,0,0.00%
01_partner_discovery_eda.csv,net_weight_kg,1408,0,0.00%
01_partner_discovery_eda.csv,quantity,1408,0,0.00%
01_partner_discovery_eda.csv,unit_value_usd_per_kg,1408,0,0.00%
01_partner_discovery_eda.csv,corridor_product_share_pct,1408,0,0.00%
01_partner_discovery_eda.csv,transaction_count,1408,0,0.00%
01_partner_discovery_eda.csv,currency_code,1408,0,0.00%
01_partner_discovery_eda.csv,currency_name,1408,0,0.00%
01_partner_discovery_eda.csv,gdp,1408,88,6.25%
01_partner_discovery_eda.csv,gdp_per_capita,1408,88,6.25%
01_partner_discovery_eda.csv,gdp_growth,1408,88,6.25%
01_partner_discovery_eda.csv,inflation,1408,88,6.25%
01_partner_discovery_eda.csv,population,1408,88,6.25%
01_partner_discovery_eda.csv,trade_pct_gdp,1408,88,6.25%
01_partner_discovery_eda.csv,tariff_rate,1408,0,0.00%
01_partner_discovery_eda.csv,tariff_type,1408,0,0.00%
01_partner_discovery_eda.csv,tariff_year,1408,0,0.00%
01_partner_discovery_eda.csv,tariff_source,1408,0,0.00%
01_partner_discovery_eda.csv,rta_exists,1408,88,6.25%
01_partner_discovery_eda.csv,rta_name,1408,88,6.25%
01_partner_discovery_eda.csv,rta_status,1408,176,12.50%
01_partner_discovery_eda.csv,rta_entry_into_force,1408,616,43.75%
01_partner_discovery_eda.csv,rta_type,1408,176,12.50%
01_partner_discovery_eda.csv,rta_coverage,1408,176,12.50%
01_partner_discovery_eda.csv,partner_locode_count,1408,0,0.00%
01_partner_discovery_eda.csv,partner_port_count,1408,0,0.00%
01_partner_discovery_eda.csv,partner_airport_count,1408,0,0.00%
01_partner_discovery_eda.csv,partner_inland_terminal_count,1408,0,0.00%
01_partner_discovery_eda.csv,scomet_match_flag,1408,0,0.00%
01_partner_discovery_eda.csv,scomet_category,1408,1408,100.00%
01_partner_discovery_eda.csv,scomet_item_reference,1408,1408,100.00%
01_partner_discovery_eda.csv,scomet_mapping_status,1408,0,0.00%
01_partner_discovery_eda.csv,gleif_entity_count,1408,0,0.00%
01_partner_discovery_eda.csv,gleif_active_entity_count,1408,0,0.00%
01_partner_discovery_eda.csv,gleif_parent_relationship_count,1408,0,0.00%
01_partner_discovery_eda.csv,sanctions_entity_count,1408,0,0.00%
01_partner_discovery_eda.csv,sanctions_high_risk_entity_count,1408,0,0.00%
01_partner_discovery_eda.csv,ofac_entity_count,1408,0,0.00%
02_trade_anomaly_dl.csv,period,61440,0,0.00%
02_trade_anomaly_dl.csv,reporter_iso3,61440,0,0.00%
02_trade_anomaly_dl.csv,partner_iso3,61440,0,0.00%
02_trade_anomaly_dl.csv,partner_name,61440,49920,81.25%
02_trade_anomaly_dl.csv,hs6,61440,0,0.00%
02_trade_anomaly_dl.csv,product_description,61440,0,0.00%
02_trade_anomaly_dl.csv,trade_flow,61440,0,0.00%
02_trade_anomaly_dl.csv,trade_value_usd,61440,0,0.00%
02_trade_anomaly_dl.csv,net_weight_kg,61440,0,0.00%
02_trade_anomaly_dl.csv,quantity,61440,0,0.00%
02_trade_anomaly_dl.csv,quantity_unit,61440,0,0.00%
02_trade_anomaly_dl.csv,unit_value,61440,0,0.00%
02_trade_anomaly_dl.csv,trade_growth,61440,0,0.00%
02_trade_anomaly_dl.csv,yoy_growth,61440,0,0.00%
02_trade_anomaly_dl.csv,rolling_mean,61440,0,0.00%
02_trade_anomaly_dl.csv,rolling_std,61440,0,0.00%
02_trade_anomaly_dl.csv,partner_share,61440,0,0.00%
02_trade_anomaly_dl.csv,partner_share_change,61440,0,0.00%
02_trade_anomaly_dl.csv,new_partner_flag,61440,0,0.00%
02_trade_anomaly_dl.csv,new_product_flag,61440,0,0.00%
02_trade_anomaly_dl.csv,mirror_trade_value,61440,0,0.00%
02_trade_anomaly_dl.csv,mirror_ratio,61440,0,0.00%
02_trade_anomaly_dl.csv,mirror_difference,61440,0,0.00%
02_trade_anomaly_dl.csv,mirror_missing_flag,61440,0,0.00%
02_trade_anomaly_dl.csv,anomaly_flag,61440,0,0.00%
02_trade_anomaly_dl.csv,source_label,61440,0,0.00%
02_trade_anomaly_dl.csv,anomaly_type,61440,0,0.00%
03_document_intelligence_eda.csv,document_id,91,0,0.00%
03_document_intelligence_eda.csv,source_dataset,91,0,0.00%
03_document_intelligence_eda.csv,source_version,91,0,0.00%
03_document_intelligence_eda.csv,split,91,0,0.00%
03_document_intelligence_eda.csv,image_reference,91,0,0.00%
03_document_intelligence_eda.csv,language,91,0,0.00%
